<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2281136900CE,07/22/2022,09:36:00,483.50,483.50,483.50,483.50,101,0
BANKNIFTY2281136900CE,07/22/2022,09:52:00,467.00,467.00,467.00,467.00,50,100
BANKNIFTY2281136900CE,07/22/2022,09:53:00,467.00,467.00,467.00,467.00,50,100
BANKNIFTY2281136900CE,07/22/2022,11:20:00,470.00,470.00,470.00,470.00,25,100
BANKNIFTY2281136900CE,07/22/2022,11:39:00,461.00,461.00,461.00,461.00,50,125
BANKNIFTY2281136900CE,07/22/2022,11:58:00,461.00,461.00,461.00,461.00,25,175
BANKNIFTY2281136900CE,07/22/2022,12:05:00,530.00,530.00,530.00,530.00,225,175
BANKNIFTY2281136900CE,07/22/2022,12:45:00,579.10,579.10,579.10,579.10,25,200
BANKNIFTY2281136900CE,07/22/2022,13:58:00,579.10,579.10,579.10,579.10,100,225
BANKNIFTY2281136900CE,07/22/2022,14:05:00,592.95,592.95,592.95,592.95,25,325
BANKNIFTY2281136900CE,07/22/2022,14:27:00,604.95,604.95,604.95,604.95,25,350
BANKNIFTY2281136900CE,07/22/2022,14:28:00,604.95,605.00,604.95,605.00,200,325
BANKNIFTY2281136900CE,07/22/2022,14:33:00,605.00,605.00,605.00,605.00,50,125
BANKNIFTY2281136900CE,07/22/2022,14:36:00,594.00,594.00,594.00,594.00,25,125
BANKNIFTY2281136900CE,07/22/2022,14:47:00,605.00,605.00,605.00,605.00,25,150
BANKNIFTY2281136900CE,07/22/2022,14:50:00,595.95,595.95,595.95,595.95,25,125
BANKNIFTY2281136900CE,07/22/2022,15:20:00,563.00,563.00,563.00,563.00,25,150
BANKNIFTY2281136900CE,07/22/2022,15:28:00,583.40,583.40,583.40,583.40,25,175
BANKNIFTY2281136900CE,07/25/2022,09:15:00,653.50,653.50,649.65,649.65,51,200
BANKNIFTY2281136900CE,07/25/2022,09:16:00,636.15,636.15,636.15,636.15,125,200
BANKNIFTY2281136900CE,07/25/2022,09:17:00,635.95,635.95,635.95,635.95,75,325
BANKNIFTY2281136900CE,07/25/2022,09:18:00,652.95,691.00,652.95,691.00,175,325
BANKNIFTY2281136900CE,07/25/2022,09:19:00,673.60,673.60,673.60,673.60,25,325
BANKNIFTY2281136900CE,07/25/2022,09:20:00,676.60,691.00,676.60,691.00,400,525
BANKNIFTY2281136900CE,07/25/2022,09:21:00,690.95,690.95,684.00,684.00,825,525
BANKNIFTY2281136900CE,07/25/2022,09:22:00,690.95,690.95,681.65,681.65,350,525
BANKNIFTY2281136900CE,07/25/2022,09:23:00,681.65,698.95,681.65,698.95,75,1875
BANKNIFTY2281136900CE,07/25/2022,09:24:00,699.65,699.65,699.65,699.65,100,1875
BANKNIFTY2281136900CE,07/25/2022,09:25:00,699.65,699.65,693.95,693.95,275,1875
BANKNIFTY2281136900CE,07/25/2022,09:26:00,700.00,700.00,700.00,700.00,25,1800
BANKNIFTY2281136900CE,07/25/2022,09:27:00,700.00,700.00,700.00,700.00,25,1800
BANKNIFTY2281136900CE,07/25/2022,09:28:00,703.65,703.65,696.55,699.00,175,1800
BANKNIFTY2281136900CE,07/25/2022,09:29:00,685.90,688.00,685.90,688.00,275,2000
BANKNIFTY2281136900CE,07/25/2022,09:30:00,670.40,670.40,670.40,670.40,25,2000
BANKNIFTY2281136900CE,07/25/2022,09:31:00,660.00,669.60,660.00,660.05,225,2000
BANKNIFTY2281136900CE,07/25/2022,09:32:00,646.20,646.20,646.20,646.20,25,2000
BANKNIFTY2281136900CE,07/25/2022,09:37:00,662.30,675.05,661.45,661.45,100,1875
BANKNIFTY2281136900CE,07/25/2022,09:38:00,661.95,661.95,661.95,661.95,25,1900
BANKNIFTY2281136900CE,07/25/2022,09:39:00,665.95,665.95,654.60,654.60,50,1900
BANKNIFTY2281136900CE,07/25/2022,09:40:00,652.95,652.95,652.95,652.95,25,1900
BANKNIFTY2281136900CE,07/25/2022,09:41:00,648.60,652.95,648.60,652.95,50,1975
BANKNIFTY2281136900CE,07/25/2022,09:43:00,645.95,645.95,645.95,645.95,25,1975
BANKNIFTY2281136900CE,07/25/2022,09:44:00,630.00,630.00,620.00,620.00,75,2000
BANKNIFTY2281136900CE,07/25/2022,09:45:00,609.35,609.35,604.95,604.95,100,2000
BANKNIFTY2281136900CE,07/25/2022,09:51:00,586.00,586.00,586.00,586.00,25,2025
BANKNIFTY2281136900CE,07/25/2022,09:53:00,549.30,549.30,549.30,549.30,25,2025
BANKNIFTY2281136900CE,07/25/2022,09:54:00,547.75,547.75,547.75,547.75,25,2025
BANKNIFTY2281136900CE,07/25/2022,09:55:00,534.75,534.75,534.75,534.75,25,2025
BANKNIFTY2281136900CE,07/25/2022,09:57:00,534.75,534.75,534.75,534.75,25,2050
BANKNIFTY2281136900CE,07/25/2022,09:58:00,526.60,526.60,526.60,526.60,25,2050
BANKNIFTY2281136900CE,07/25/2022,09:59:00,526.60,546.45,526.60,546.45,75,2050
BANKNIFTY2281136900CE,07/25/2022,10:00:00,547.70,547.70,547.70,547.70,75,2050
BANKNIFTY2281136900CE,07/25/2022,10:01:00,523.00,523.00,523.00,523.00,50,2050
BANKNIFTY2281136900CE,07/25/2022,10:02:00,523.00,525.20,523.00,525.20,100,2025
BANKNIFTY2281136900CE,07/25/2022,10:03:00,524.85,524.85,524.85,524.85,25,2025
BANKNIFTY2281136900CE,07/25/2022,10:10:00,515.05,515.05,515.05,515.05,25,2050
