<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2272132400CE,07/01/2022,15:26:00,1555.05,1555.05,1555.05,1555.05,26,0
BANKNIFTY2272132400CE,07/04/2022,11:00:00,1621.45,1621.45,1621.45,1621.45,26,25
BANKNIFTY2272132400CE,07/04/2022,14:45:00,1654.30,1654.30,1654.30,1654.30,25,50
BANKNIFTY2272132400CE,07/05/2022,12:09:00,2049.70,2049.70,2049.70,2049.70,26,75
BANKNIFTY2272132400CE,07/06/2022,09:15:00,2049.70,2049.70,2049.70,2049.70,51,100
BANKNIFTY2272132400CE,07/06/2022,09:16:00,2169.70,2169.70,2169.70,2169.70,100,100
BANKNIFTY2272132400CE,07/06/2022,09:18:00,1772.60,1772.60,1772.60,1772.60,50,200
BANKNIFTY2272132400CE,07/06/2022,09:21:00,1794.25,1799.05,1794.25,1799.05,100,250
BANKNIFTY2272132400CE,07/06/2022,09:34:00,1846.15,1846.15,1846.15,1846.15,25,300
BANKNIFTY2272132400CE,07/06/2022,09:40:00,1838.90,1838.90,1838.90,1838.90,25,300
BANKNIFTY2272132400CE,07/06/2022,09:42:00,1789.25,1789.25,1789.25,1789.25,25,300
BANKNIFTY2272132400CE,07/06/2022,09:44:00,1754.25,1754.25,1754.25,1754.25,25,300
BANKNIFTY2272132400CE,07/06/2022,09:45:00,1754.15,1754.15,1721.65,1721.65,50,250
BANKNIFTY2272132400CE,07/06/2022,10:43:00,1721.65,1721.65,1721.65,1721.65,25,250
BANKNIFTY2272132400CE,07/06/2022,10:44:00,2058.35,2058.35,2058.35,2058.35,25,250
BANKNIFTY2272132400CE,07/06/2022,12:34:00,1993.90,1993.90,1993.90,1993.90,75,300
BANKNIFTY2272132400CE,07/06/2022,13:07:00,2029.75,2029.75,2029.75,2029.75,25,350
BANKNIFTY2272132400CE,07/06/2022,13:08:00,2197.30,2197.30,2197.30,2197.30,25,350
BANKNIFTY2272132400CE,07/06/2022,13:10:00,2197.30,2197.30,2197.30,2197.30,25,375
BANKNIFTY2272132400CE,07/06/2022,13:20:00,2005.45,2005.45,2005.45,2005.45,25,400
BANKNIFTY2272132400CE,07/06/2022,13:28:00,1973.00,1973.00,1973.00,1973.00,25,400
BANKNIFTY2272132400CE,07/06/2022,15:14:00,2025.70,2025.70,2025.70,2025.70,25,400
BANKNIFTY2272132400CE,07/06/2022,15:22:00,2062.00,2062.00,2062.00,2062.00,25,400
BANKNIFTY2272132400CE,07/07/2022,10:44:00,2589.55,2589.55,2589.55,2589.55,26,425
BANKNIFTY2272132400CE,07/07/2022,13:26:00,2552.80,2552.80,2552.80,2552.80,25,450
BANKNIFTY2272132400CE,07/08/2022,12:01:00,2604.30,2604.30,2604.30,2604.30,251,450
BANKNIFTY2272132400CE,07/08/2022,12:02:00,2653.05,2653.05,2653.05,2653.05,200,450
BANKNIFTY2272132400CE,07/08/2022,14:00:00,2657.10,2682.45,2657.10,2682.45,75,275
BANKNIFTY2272132400CE,07/14/2022,13:22:00,2287.95,2287.95,2287.95,2287.95,26,200
BANKNIFTY2272132400CE,07/15/2022,12:50:00,2204.00,2204.00,2204.00,2204.00,126,200
