<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2271432600CE,07/01/2022,10:08:00,942.55,942.60,942.55,942.60,52,0
BANKNIFTY2271432600CE,07/01/2022,10:23:00,993.65,993.65,993.65,993.65,25,100
BANKNIFTY2271432600CE,07/01/2022,10:42:00,1028.65,1028.65,1028.65,1028.65,25,100
BANKNIFTY2271432600CE,07/01/2022,11:16:00,1028.65,1028.65,1028.65,1028.65,25,100
BANKNIFTY2271432600CE,07/01/2022,11:21:00,1037.55,1037.55,1037.55,1037.55,250,125
BANKNIFTY2271432600CE,07/01/2022,11:24:00,1044.15,1044.15,1044.15,1044.15,125,375
BANKNIFTY2271432600CE,07/01/2022,11:36:00,1044.15,1044.15,1044.15,1044.15,150,500
BANKNIFTY2271432600CE,07/01/2022,11:45:00,1020.70,1020.70,1020.70,1020.70,150,650
BANKNIFTY2271432600CE,07/01/2022,11:57:00,1007.75,1007.75,1007.75,1007.75,125,800
BANKNIFTY2271432600CE,07/01/2022,12:00:00,1028.70,1028.70,1028.70,1028.70,175,925
BANKNIFTY2271432600CE,07/01/2022,12:21:00,1048.85,1048.85,1048.85,1048.85,125,1075
BANKNIFTY2271432600CE,07/01/2022,12:28:00,1049.15,1049.15,1049.15,1049.15,125,1200
BANKNIFTY2271432600CE,07/01/2022,12:37:00,1049.15,1049.15,1049.15,1049.15,125,1325
BANKNIFTY2271432600CE,07/01/2022,12:40:00,1057.10,1057.10,1057.10,1057.10,25,1450
BANKNIFTY2271432600CE,07/01/2022,12:41:00,1057.10,1057.10,1057.10,1057.10,25,1475
BANKNIFTY2271432600CE,07/01/2022,12:48:00,1027.05,1027.05,1027.05,1027.05,150,1500
BANKNIFTY2271432600CE,07/01/2022,12:58:00,1084.75,1084.75,1084.75,1084.75,300,1650
BANKNIFTY2271432600CE,07/01/2022,13:09:00,1135.80,1135.80,1135.80,1135.80,250,1950
BANKNIFTY2271432600CE,07/01/2022,13:12:00,1135.80,1135.80,1116.65,1116.65,50,2200
BANKNIFTY2271432600CE,07/01/2022,13:14:00,1119.30,1119.30,1119.30,1119.30,25,2200
BANKNIFTY2271432600CE,07/01/2022,13:19:00,1102.40,1102.40,1095.90,1095.90,550,2200
BANKNIFTY2271432600CE,07/01/2022,13:22:00,1145.25,1146.10,1138.00,1139.85,475,2750
BANKNIFTY2271432600CE,07/01/2022,13:23:00,1131.00,1132.30,1130.80,1130.80,500,2750
BANKNIFTY2271432600CE,07/01/2022,13:25:00,1131.20,1131.20,1131.20,1131.20,125,3675
BANKNIFTY2271432600CE,07/01/2022,13:33:00,1096.65,1096.65,1096.65,1096.65,25,3800
BANKNIFTY2271432600CE,07/01/2022,13:35:00,1091.20,1091.20,1091.20,1091.20,25,3800
BANKNIFTY2271432600CE,07/01/2022,13:36:00,1091.55,1096.00,1083.45,1083.45,225,3825
BANKNIFTY2271432600CE,07/01/2022,13:37:00,1079.20,1079.20,1079.20,1079.20,100,3825
BANKNIFTY2271432600CE,07/01/2022,13:44:00,1167.60,1167.60,1167.60,1167.60,150,3975
BANKNIFTY2271432600CE,07/01/2022,13:51:00,1167.60,1167.60,1167.60,1167.60,75,4100
BANKNIFTY2271432600CE,07/01/2022,13:55:00,1131.55,1131.55,1131.55,1131.55,250,4150
BANKNIFTY2271432600CE,07/01/2022,14:01:00,1145.35,1145.35,1145.35,1145.35,25,4250
BANKNIFTY2271432600CE,07/01/2022,14:17:00,1123.40,1123.40,1123.40,1123.40,25,4275
BANKNIFTY2271432600CE,07/01/2022,14:33:00,1161.60,1161.60,1161.60,1161.60,25,4275
BANKNIFTY2271432600CE,07/01/2022,14:40:00,1144.25,1144.25,1144.25,1144.25,25,4275
BANKNIFTY2271432600CE,07/01/2022,14:43:00,1137.20,1137.20,1137.20,1137.20,50,4275
BANKNIFTY2271432600CE,07/01/2022,14:44:00,1166.50,1166.50,1166.50,1166.50,150,4275
BANKNIFTY2271432600CE,07/01/2022,14:49:00,1172.00,1172.00,1172.00,1172.00,125,4150
BANKNIFTY2271432600CE,07/01/2022,14:52:00,1181.95,1181.95,1181.95,1181.95,175,4275
BANKNIFTY2271432600CE,07/01/2022,15:25:00,1263.10,1263.10,1263.10,1263.10,25,4425
BANKNIFTY2271432600CE,07/01/2022,15:26:00,1280.20,1280.20,1280.20,1280.20,25,4425
BANKNIFTY2271432600CE,07/04/2022,09:15:00,1341.50,1341.55,1341.50,1341.55,77,4400
BANKNIFTY2271432600CE,07/04/2022,09:41:00,1262.80,1262.80,1262.80,1262.80,50,4400
BANKNIFTY2271432600CE,07/04/2022,09:45:00,1213.80,1213.80,1213.80,1213.80,25,4475
BANKNIFTY2271432600CE,07/06/2022,09:15:00,1440.25,1440.25,1440.20,1440.20,77,4400
BANKNIFTY2271432600CE,07/06/2022,12:12:00,1601.10,1601.10,1601.10,1601.10,50,4425
BANKNIFTY2271432600CE,07/06/2022,14:56:00,1714.00,1714.00,1714.00,1714.00,200,4425
BANKNIFTY2271432600CE,07/06/2022,15:15:00,1774.80,1774.80,1774.80,1774.80,25,4625
BANKNIFTY2271432600CE,07/06/2022,15:19:00,1774.80,1774.80,1774.80,1774.80,25,4625
BANKNIFTY2271432600CE,07/06/2022,15:22:00,1783.95,1783.95,1783.95,1783.95,25,4600
BANKNIFTY2271432600CE,07/07/2022,09:59:00,1971.85,1971.85,1971.85,1971.85,26,4600
BANKNIFTY2271432600CE,07/07/2022,12:29:00,2116.80,2116.80,2116.80,2116.80,25,4625
BANKNIFTY2271432600CE,07/08/2022,09:16:00,2549.90,2554.35,2523.40,2523.40,1802,4625
BANKNIFTY2271432600CE,07/08/2022,09:18:00,2498.15,2498.15,2498.15,2498.15,325,5750
BANKNIFTY2271432600CE,07/08/2022,09:20:00,2498.15,2498.15,2498.15,2498.15,25,5425
