<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2270729400PE,07/01/2022,09:15:00,5.05,5.15,4.80,5.10,2102,6575
BANKNIFTY2270729400PE,07/01/2022,09:16:00,5.15,5.20,4.80,4.90,2825,6575
BANKNIFTY2270729400PE,07/01/2022,09:17:00,4.90,4.95,4.80,4.95,2700,8225
BANKNIFTY2270729400PE,07/01/2022,09:18:00,4.80,5.15,4.80,4.90,5325,8225
BANKNIFTY2270729400PE,07/01/2022,09:19:00,5.00,5.05,4.90,4.95,5000,8225
BANKNIFTY2270729400PE,07/01/2022,09:20:00,4.95,4.95,4.65,4.75,5300,13325
BANKNIFTY2270729400PE,07/01/2022,09:21:00,4.80,4.90,4.75,4.80,3500,13325
BANKNIFTY2270729400PE,07/01/2022,09:22:00,4.80,4.95,4.75,4.95,3475,13325
BANKNIFTY2270729400PE,07/01/2022,09:23:00,4.95,5.15,4.85,4.85,10425,15150
BANKNIFTY2270729400PE,07/01/2022,09:24:00,4.80,4.80,4.50,4.60,3300,15150
BANKNIFTY2270729400PE,07/01/2022,09:25:00,4.55,4.55,4.35,4.45,2400,15150
BANKNIFTY2270729400PE,07/01/2022,09:26:00,4.50,4.70,4.50,4.70,2725,18125
BANKNIFTY2270729400PE,07/01/2022,09:27:00,4.65,4.70,4.65,4.70,225,18125
BANKNIFTY2270729400PE,07/01/2022,09:28:00,4.75,4.75,4.60,4.60,1075,18125
BANKNIFTY2270729400PE,07/01/2022,09:29:00,4.70,4.70,4.65,4.70,200,17000
BANKNIFTY2270729400PE,07/01/2022,09:30:00,4.65,4.70,4.60,4.65,2950,17000
BANKNIFTY2270729400PE,07/01/2022,09:31:00,4.70,4.70,4.50,4.50,2650,17000
BANKNIFTY2270729400PE,07/01/2022,09:32:00,4.55,4.55,4.50,4.50,175,18800
BANKNIFTY2270729400PE,07/01/2022,09:33:00,4.60,4.60,4.55,4.60,325,18800
BANKNIFTY2270729400PE,07/01/2022,09:34:00,4.60,4.60,4.50,4.50,1625,18800
BANKNIFTY2270729400PE,07/01/2022,09:35:00,4.45,4.45,4.35,4.35,975,19675
BANKNIFTY2270729400PE,07/01/2022,09:36:00,4.40,4.40,4.30,4.30,1475,19675
BANKNIFTY2270729400PE,07/01/2022,09:37:00,4.40,4.40,4.35,4.35,1900,19675
BANKNIFTY2270729400PE,07/01/2022,09:38:00,4.45,4.45,4.35,4.35,650,20100
BANKNIFTY2270729400PE,07/01/2022,09:39:00,4.45,4.45,4.45,4.45,25,20100
BANKNIFTY2270729400PE,07/01/2022,09:40:00,4.45,4.45,4.45,4.45,300,20100
BANKNIFTY2270729400PE,07/01/2022,09:41:00,4.45,4.45,4.45,4.45,50,20400
BANKNIFTY2270729400PE,07/01/2022,09:42:00,4.50,4.55,4.35,4.50,2600,20400
BANKNIFTY2270729400PE,07/01/2022,09:43:00,4.40,4.45,4.35,4.40,2250,20400
BANKNIFTY2270729400PE,07/01/2022,09:45:00,4.40,4.40,4.35,4.35,200,18625
BANKNIFTY2270729400PE,07/01/2022,09:47:00,4.45,4.45,4.45,4.45,125,18625
BANKNIFTY2270729400PE,07/01/2022,09:48:00,4.35,4.40,4.35,4.40,450,18625
BANKNIFTY2270729400PE,07/01/2022,09:49:00,4.45,4.45,4.40,4.40,550,18625
BANKNIFTY2270729400PE,07/01/2022,09:50:00,4.40,4.45,4.40,4.40,1050,18525
BANKNIFTY2270729400PE,07/01/2022,09:51:00,4.35,4.35,4.35,4.35,550,18525
BANKNIFTY2270729400PE,07/01/2022,09:52:00,4.45,4.45,4.40,4.40,825,18525
BANKNIFTY2270729400PE,07/01/2022,09:53:00,4.40,4.50,4.40,4.50,825,17550
BANKNIFTY2270729400PE,07/01/2022,09:54:00,4.50,4.55,4.50,4.55,350,17550
BANKNIFTY2270729400PE,07/01/2022,09:55:00,4.50,4.55,4.50,4.55,300,17550
BANKNIFTY2270729400PE,07/01/2022,09:56:00,4.55,4.60,4.55,4.55,2775,16750
BANKNIFTY2270729400PE,07/01/2022,09:57:00,4.60,4.80,4.60,4.80,1325,16750
BANKNIFTY2270729400PE,07/01/2022,09:58:00,4.70,5.05,4.70,5.05,2925,16750
BANKNIFTY2270729400PE,07/01/2022,09:59:00,4.95,5.00,4.95,5.00,2350,17150
BANKNIFTY2270729400PE,07/01/2022,10:00:00,4.95,4.95,4.95,4.95,200,17150
BANKNIFTY2270729400PE,07/01/2022,10:01:00,5.05,5.05,5.00,5.00,875,17150
BANKNIFTY2270729400PE,07/01/2022,10:02:00,5.00,5.00,4.85,4.85,1625,18250
BANKNIFTY2270729400PE,07/01/2022,10:03:00,4.85,4.90,4.85,4.85,450,18250
BANKNIFTY2270729400PE,07/01/2022,10:05:00,4.90,4.90,4.90,4.90,75,18250
BANKNIFTY2270729400PE,07/01/2022,10:06:00,4.85,4.85,4.70,4.70,3375,17800
BANKNIFTY2270729400PE,07/01/2022,10:07:00,4.55,4.65,4.55,4.65,3800,17800
BANKNIFTY2270729400PE,07/01/2022,10:08:00,4.65,4.80,4.60,4.80,3225,16575
BANKNIFTY2270729400PE,07/01/2022,10:09:00,4.85,4.90,4.75,4.85,3250,16575
BANKNIFTY2270729400PE,07/01/2022,10:10:00,4.85,4.95,4.85,4.85,2275,16575
BANKNIFTY2270729400PE,07/01/2022,10:11:00,4.80,4.80,4.65,4.75,1450,18025
BANKNIFTY2270729400PE,07/01/2022,10:12:00,4.70,4.70,4.50,4.60,675,18025
BANKNIFTY2270729400PE,07/01/2022,10:13:00,4.60,4.60,4.50,4.50,325,18025
BANKNIFTY2270729400PE,07/01/2022,10:14:00,4.45,4.50,4.45,4.50,225,18025
BANKNIFTY2270729400PE,07/01/2022,10:15:00,4.55,4.55,4.45,4.55,225,17675
BANKNIFTY2270729400PE,07/01/2022,10:16:00,4.55,4.55,4.50,4.50,125,17675
