<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2272130200PE,07/01/2022,09:57:00,78.85,78.85,78.85,78.85,26,0
BANKNIFTY2272130200PE,07/01/2022,09:59:00,77.65,77.65,77.65,77.65,25,25
BANKNIFTY2272130200PE,07/04/2022,14:59:00,26.05,26.05,26.05,26.05,26,50
BANKNIFTY2272130200PE,07/07/2022,14:06:00,12.05,12.05,12.05,12.05,51,100
BANKNIFTY2272130200PE,07/07/2022,14:08:00,12.05,12.05,12.05,12.05,25,100
BANKNIFTY2272130200PE,07/15/2022,09:15:00,2.05,2.90,2.05,2.65,2203,150
BANKNIFTY2272130200PE,07/15/2022,09:16:00,2.75,2.85,2.75,2.85,50,150
BANKNIFTY2272130200PE,07/15/2022,09:17:00,3.00,3.00,2.90,2.90,775,1600
BANKNIFTY2272130200PE,07/15/2022,09:19:00,2.95,2.95,2.90,2.90,250,1600
BANKNIFTY2272130200PE,07/15/2022,09:20:00,2.90,2.90,2.90,2.90,25,1600
BANKNIFTY2272130200PE,07/15/2022,09:21:00,2.90,2.90,2.85,2.85,1025,1500
BANKNIFTY2272130200PE,07/15/2022,09:22:00,2.85,2.85,2.85,2.85,25,1500
BANKNIFTY2272130200PE,07/15/2022,09:23:00,2.85,2.95,2.85,2.90,775,1375
BANKNIFTY2272130200PE,07/15/2022,09:24:00,2.90,2.90,2.90,2.90,50,1375
BANKNIFTY2272130200PE,07/15/2022,09:25:00,2.80,2.85,2.70,2.70,2725,1375
BANKNIFTY2272130200PE,07/15/2022,09:26:00,2.70,2.85,2.70,2.80,550,2750
BANKNIFTY2272130200PE,07/15/2022,09:28:00,2.85,2.90,2.85,2.90,50,2750
BANKNIFTY2272130200PE,07/15/2022,09:30:00,2.95,2.95,2.85,2.85,1000,2650
BANKNIFTY2272130200PE,07/15/2022,09:35:00,2.80,2.90,2.80,2.90,400,2925
BANKNIFTY2272130200PE,07/15/2022,09:36:00,2.85,2.85,2.85,2.85,50,2925
BANKNIFTY2272130200PE,07/15/2022,09:37:00,2.85,2.85,2.80,2.80,50,2925
BANKNIFTY2272130200PE,07/15/2022,09:38:00,2.85,2.85,2.85,2.85,100,2850
BANKNIFTY2272130200PE,07/15/2022,09:39:00,2.90,2.90,2.90,2.90,375,2850
