<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2271432800CE,07/01/2022,09:15:00,899.95,899.95,843.55,858.15,1101,200
BANKNIFTY2271432800CE,07/01/2022,09:16:00,850.00,850.00,825.00,825.00,125,200
BANKNIFTY2271432800CE,07/01/2022,09:18:00,825.00,825.00,825.00,825.00,200,1125
BANKNIFTY2271432800CE,07/01/2022,09:19:00,841.65,841.65,834.20,834.55,100,1125
BANKNIFTY2271432800CE,07/01/2022,09:22:00,834.55,834.55,830.00,830.00,150,1200
BANKNIFTY2271432800CE,07/01/2022,09:25:00,858.75,858.75,858.75,858.75,50,1350
BANKNIFTY2271432800CE,07/01/2022,09:28:00,835.65,835.65,835.65,835.65,50,1300
BANKNIFTY2271432800CE,07/01/2022,09:29:00,825.00,825.00,819.90,819.90,75,1300
BANKNIFTY2271432800CE,07/01/2022,09:30:00,810.00,810.00,807.40,807.40,75,1300
BANKNIFTY2271432800CE,07/01/2022,09:34:00,819.50,819.50,819.50,819.50,50,1400
BANKNIFTY2271432800CE,07/01/2022,09:39:00,811.75,811.75,811.75,811.75,50,1450
BANKNIFTY2271432800CE,07/01/2022,09:41:00,811.75,811.75,811.75,811.75,25,1400
BANKNIFTY2271432800CE,07/01/2022,09:42:00,814.55,814.55,814.55,814.55,25,1400
BANKNIFTY2271432800CE,07/01/2022,09:43:00,818.75,818.75,818.75,818.75,50,1400
BANKNIFTY2271432800CE,07/01/2022,09:44:00,817.20,825.00,817.20,825.00,575,1400
BANKNIFTY2271432800CE,07/01/2022,09:45:00,831.75,831.75,831.75,831.75,50,1400
BANKNIFTY2271432800CE,07/01/2022,09:46:00,824.55,824.55,824.55,824.55,25,1400
BANKNIFTY2271432800CE,07/01/2022,09:47:00,824.55,824.55,822.20,822.20,225,1400
BANKNIFTY2271432800CE,07/01/2022,09:48:00,826.60,826.60,826.60,826.60,25,1400
BANKNIFTY2271432800CE,07/01/2022,09:49:00,827.40,827.40,827.40,827.40,25,1400
BANKNIFTY2271432800CE,07/01/2022,09:50:00,830.20,830.20,830.20,830.20,125,1650
BANKNIFTY2271432800CE,07/01/2022,09:51:00,822.85,823.75,822.85,823.75,50,1650
BANKNIFTY2271432800CE,07/01/2022,09:52:00,821.85,823.80,821.85,823.80,75,1650
BANKNIFTY2271432800CE,07/01/2022,09:53:00,817.20,819.95,817.20,819.95,125,1825
BANKNIFTY2271432800CE,07/01/2022,09:54:00,819.95,819.95,819.35,819.35,200,1825
BANKNIFTY2271432800CE,07/01/2022,09:55:00,815.00,816.40,815.00,816.40,350,1825
BANKNIFTY2271432800CE,07/01/2022,09:57:00,830.00,830.00,830.00,830.00,25,2475
