<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2281134700PE,07/22/2022,13:26:00,138.00,138.00,138.00,138.00,51,0
BANKNIFTY2281134700PE,07/22/2022,14:53:00,133.95,133.95,133.95,133.95,25,50
BANKNIFTY2281134700PE,07/22/2022,15:07:00,120.00,120.00,120.00,120.00,25,75
BANKNIFTY2281134700PE,07/25/2022,10:00:00,136.25,136.25,136.25,136.25,26,100
BANKNIFTY2281134700PE,07/25/2022,10:50:00,162.55,162.55,162.55,162.55,25,75
BANKNIFTY2281134700PE,07/25/2022,10:56:00,162.55,162.55,162.55,162.55,25,100
BANKNIFTY2281134700PE,07/25/2022,11:21:00,150.35,150.35,150.35,150.35,25,75
BANKNIFTY2281134700PE,07/25/2022,11:25:00,150.35,150.35,150.35,150.35,25,75
BANKNIFTY2281134700PE,07/25/2022,13:18:00,144.15,144.15,144.15,144.15,25,100
BANKNIFTY2281134700PE,07/25/2022,14:14:00,131.65,131.65,131.65,131.65,25,100
BANKNIFTY2281134700PE,07/25/2022,14:23:00,118.10,118.10,118.10,118.10,25,125
BANKNIFTY2281134700PE,07/25/2022,14:28:00,110.50,110.50,110.50,110.50,50,100
BANKNIFTY2281134700PE,07/25/2022,14:43:00,110.50,110.50,110.50,110.50,25,125
BANKNIFTY2281134700PE,07/26/2022,09:16:00,141.25,141.25,141.15,141.15,77,125
BANKNIFTY2281134700PE,07/26/2022,09:30:00,148.00,148.00,148.00,148.00,25,200
BANKNIFTY2281134700PE,07/26/2022,10:27:00,150.50,150.50,150.50,150.50,50,175
BANKNIFTY2281134700PE,07/26/2022,11:07:00,150.50,150.50,150.50,150.50,50,200
BANKNIFTY2281134700PE,07/26/2022,15:13:00,154.25,154.25,154.25,154.25,25,200
BANKNIFTY2281134700PE,07/26/2022,15:28:00,157.10,157.10,157.10,157.10,25,225
BANKNIFTY2281134700PE,07/27/2022,09:50:00,160.65,160.65,160.65,160.65,26,200
BANKNIFTY2281134700PE,07/27/2022,10:08:00,131.85,131.85,131.85,131.85,50,225
BANKNIFTY2281134700PE,07/27/2022,10:09:00,131.85,131.85,131.85,131.85,50,200
BANKNIFTY2281134700PE,07/27/2022,10:41:00,126.60,126.60,126.60,126.60,25,250
BANKNIFTY2281134700PE,07/27/2022,10:46:00,126.30,126.30,126.30,126.30,100,225
BANKNIFTY2281134700PE,07/27/2022,12:20:00,125.00,125.00,125.00,125.00,25,225
BANKNIFTY2281134700PE,07/27/2022,12:26:00,125.00,125.00,125.00,125.00,25,250
BANKNIFTY2281134700PE,07/27/2022,12:58:00,119.20,119.20,119.20,119.20,25,275
BANKNIFTY2281134700PE,07/27/2022,13:03:00,105.55,105.55,105.55,105.55,25,300
BANKNIFTY2281134700PE,07/27/2022,13:38:00,105.55,105.55,105.55,105.55,25,275
BANKNIFTY2281134700PE,07/27/2022,13:56:00,110.25,110.25,110.25,110.25,25,275
BANKNIFTY2281134700PE,07/27/2022,14:11:00,115.80,115.80,115.80,115.80,100,300
BANKNIFTY2281134700PE,07/27/2022,14:15:00,112.45,116.60,112.45,116.60,125,400
BANKNIFTY2281134700PE,07/27/2022,14:16:00,117.45,117.45,117.45,117.45,50,400
BANKNIFTY2281134700PE,07/27/2022,14:22:00,105.15,105.15,105.15,105.15,25,475
BANKNIFTY2281134700PE,07/27/2022,14:51:00,105.15,105.15,105.15,105.15,25,500
BANKNIFTY2281134700PE,07/28/2022,09:24:00,60.95,60.95,60.95,60.95,26,525
BANKNIFTY2281134700PE,07/28/2022,09:25:00,61.00,61.00,61.00,61.00,50,525
BANKNIFTY2281134700PE,07/28/2022,09:31:00,61.00,61.00,61.00,61.00,25,600
BANKNIFTY2281134700PE,07/28/2022,09:35:00,60.15,60.15,60.15,60.15,75,600
BANKNIFTY2281134700PE,07/28/2022,09:38:00,65.00,65.00,65.00,65.00,25,675
BANKNIFTY2281134700PE,07/28/2022,09:54:00,54.65,54.65,54.65,54.65,125,700
BANKNIFTY2281134700PE,07/28/2022,09:58:00,54.60,54.60,54.60,54.60,100,775
BANKNIFTY2281134700PE,07/28/2022,10:18:00,51.80,51.80,51.80,51.80,100,850
