<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2280433500CE,07/01/2022,09:53:00,857.00,857.00,857.00,857.00,26,0
BANKNIFTY2280433500CE,07/01/2022,10:01:00,835.45,835.45,835.45,835.45,25,25
BANKNIFTY2280433500CE,07/04/2022,10:55:00,1100.00,1100.00,1100.00,1100.00,26,25
BANKNIFTY2280433500CE,07/13/2022,14:37:00,1783.30,1783.30,1783.30,1783.30,26,50
BANKNIFTY2280433500CE,07/13/2022,14:38:00,450.15,450.15,450.15,450.15,25,50
BANKNIFTY2280433500CE,07/13/2022,14:40:00,450.15,450.15,450.15,450.15,25,75
BANKNIFTY2280433500CE,07/14/2022,14:40:00,1499.65,1499.65,1499.55,1499.55,52,50
BANKNIFTY2280433500CE,07/14/2022,14:59:00,1458.75,1458.75,1458.75,1458.75,50,75
BANKNIFTY2280433500CE,07/15/2022,09:31:00,1503.00,1503.00,1503.00,1503.00,201,100
BANKNIFTY2280433500CE,07/15/2022,09:32:00,1487.25,1487.25,1487.25,1487.25,25,100
BANKNIFTY2280433500CE,07/15/2022,11:03:00,1400.95,1400.95,1400.95,1400.95,125,325
BANKNIFTY2280433500CE,07/15/2022,11:18:00,1385.50,1385.50,1385.50,1385.50,25,375
BANKNIFTY2280433500CE,07/15/2022,11:23:00,1376.55,1376.55,1376.55,1376.55,25,375
BANKNIFTY2280433500CE,07/15/2022,11:35:00,1376.55,1376.55,1376.55,1376.55,25,350
BANKNIFTY2280433500CE,07/15/2022,11:41:00,1400.15,1400.15,1400.15,1400.15,125,350
BANKNIFTY2280433500CE,07/15/2022,12:14:00,1391.20,1391.20,1391.20,1391.20,25,275
BANKNIFTY2280433500CE,07/15/2022,12:19:00,1370.00,1370.00,1370.00,1370.00,125,300
BANKNIFTY2280433500CE,07/15/2022,12:21:00,1365.00,1365.00,1365.00,1365.00,50,325
BANKNIFTY2280433500CE,07/15/2022,12:22:00,1365.00,1365.00,1365.00,1365.00,25,325
BANKNIFTY2280433500CE,07/15/2022,13:01:00,1365.00,1365.00,1365.00,1365.00,25,325
BANKNIFTY2280433500CE,07/15/2022,13:30:00,1424.05,1424.05,1424.05,1424.05,25,325
BANKNIFTY2280433500CE,07/15/2022,14:28:00,1460.00,1460.00,1460.00,1460.00,125,350
BANKNIFTY2280433500CE,07/15/2022,14:39:00,1497.90,1497.90,1497.90,1497.90,25,250
BANKNIFTY2280433500CE,07/15/2022,15:16:00,1512.00,1512.00,1512.00,1512.00,200,250
BANKNIFTY2280433500CE,07/18/2022,09:16:00,1648.65,1648.70,1648.65,1648.70,77,425
BANKNIFTY2280433500CE,07/18/2022,09:21:00,1641.05,1641.05,1641.05,1641.05,100,425
BANKNIFTY2280433500CE,07/18/2022,09:22:00,1627.70,1627.70,1627.70,1627.70,50,425
BANKNIFTY2280433500CE,07/18/2022,09:23:00,1626.25,1626.25,1626.25,1626.25,125,350
BANKNIFTY2280433500CE,07/18/2022,09:28:00,1595.75,1595.75,1590.30,1590.30,150,350
BANKNIFTY2280433500CE,07/18/2022,09:30:00,1590.30,1590.30,1590.30,1590.30,25,450
BANKNIFTY2280433500CE,07/18/2022,09:35:00,1663.95,1663.95,1663.95,1663.95,25,475
BANKNIFTY2280433500CE,07/18/2022,09:36:00,1663.95,1663.95,1663.95,1663.95,25,500
BANKNIFTY2280433500CE,07/18/2022,09:37:00,1639.05,1639.05,1637.25,1637.25,150,500
BANKNIFTY2280433500CE,07/18/2022,09:44:00,1615.05,1615.05,1594.65,1594.65,200,725
BANKNIFTY2280433500CE,07/18/2022,09:45:00,1594.40,1594.40,1594.40,1594.40,25,725
BANKNIFTY2280433500CE,07/18/2022,09:46:00,1617.90,1617.90,1617.90,1617.90,25,725
BANKNIFTY2280433500CE,07/18/2022,09:51:00,1585.10,1585.10,1585.10,1585.10,50,900
BANKNIFTY2280433500CE,07/18/2022,09:52:00,1591.50,1591.50,1591.50,1591.50,25,900
BANKNIFTY2280433500CE,07/18/2022,09:55:00,1589.90,1604.85,1589.90,1604.85,125,975
BANKNIFTY2280433500CE,07/18/2022,09:58:00,1611.75,1611.75,1611.75,1611.75,25,1100
BANKNIFTY2280433500CE,07/18/2022,10:08:00,1611.55,1611.55,1611.55,1611.55,25,1125
BANKNIFTY2280433500CE,07/18/2022,10:16:00,1627.05,1627.05,1627.05,1627.05,25,1150
BANKNIFTY2280433500CE,07/18/2022,10:24:00,1585.65,1585.65,1585.65,1585.65,25,1175
BANKNIFTY2280433500CE,07/18/2022,10:34:00,1570.65,1570.65,1570.65,1570.65,25,1175
BANKNIFTY2280433500CE,07/18/2022,11:58:00,1570.65,1570.65,1570.65,1570.65,25,1200
BANKNIFTY2280433500CE,07/18/2022,15:17:00,2001.00,2001.00,2001.00,2001.00,25,1225
BANKNIFTY2280433500CE,07/18/2022,15:19:00,2032.75,2032.75,2032.75,2032.75,25,1225
BANKNIFTY2280433500CE,07/19/2022,11:07:00,2183.95,2183.95,2183.95,2183.95,26,1175
BANKNIFTY2280433500CE,07/19/2022,11:45:00,2055.00,2062.00,2047.00,2047.00,450,1175
BANKNIFTY2280433500CE,07/19/2022,11:46:00,2045.00,2045.00,2035.00,2035.00,275,1175
BANKNIFTY2280433500CE,07/19/2022,11:47:00,2082.00,2082.00,2082.00,2082.00,50,1175
BANKNIFTY2280433500CE,07/19/2022,11:48:00,2085.00,2085.00,2085.00,2085.00,100,1175
BANKNIFTY2280433500CE,07/19/2022,12:44:00,2190.00,2190.00,2190.00,2190.00,50,1175
BANKNIFTY2280433500CE,07/20/2022,11:46:00,2657.00,2657.00,2657.00,2657.00,26,1175
BANKNIFTY2280433500CE,07/20/2022,13:38:00,2610.35,2610.35,2610.35,2610.35,25,1150
BANKNIFTY2280433500CE,07/21/2022,11:19:00,2699.00,2699.00,2699.00,2699.00,501,1150
BANKNIFTY2280433500CE,07/21/2022,12:54:00,2799.00,2799.00,2799.00,2799.00,200,1150
BANKNIFTY2280433500CE,07/21/2022,13:28:00,2799.00,2799.00,2799.00,2799.00,25,950
BANKNIFTY2280433500CE,07/21/2022,14:05:00,2700.00,2700.00,2700.00,2700.00,25,950
BANKNIFTY2280433500CE,07/21/2022,14:29:00,2734.00,2734.00,2734.00,2734.00,50,925
BANKNIFTY2280433500CE,07/21/2022,14:30:00,2734.00,2734.00,2734.00,2734.00,275,925
BANKNIFTY2280433500CE,07/21/2022,14:31:00,2734.00,2734.00,2734.00,2734.00,175,1050
BANKNIFTY2280433500CE,07/21/2022,15:18:00,2724.00,2724.00,2724.00,2724.00,450,1175
BANKNIFTY2280433500CE,07/21/2022,15:19:00,2745.00,2745.00,2745.00,2745.00,400,1175
BANKNIFTY2280433500CE,07/26/2022,12:31:00,3077.85,3077.85,3077.85,3077.85,51,1925
BANKNIFTY2280433500CE,07/27/2022,09:31:00,2800.00,2800.00,2800.00,2800.00,26,1925
BANKNIFTY2280433500CE,07/27/2022,09:35:00,2810.00,2810.00,2810.00,2810.00,25,1950
BANKNIFTY2280433500CE,07/27/2022,09:38:00,2835.00,2835.00,2835.00,2835.00,25,1950
BANKNIFTY2280433500CE,07/27/2022,09:50:00,2839.95,2839.95,2839.95,2839.95,25,2000
BANKNIFTY2280433500CE,07/27/2022,09:53:00,2920.00,2920.00,2920.00,2920.00,25,2000
BANKNIFTY2280433500CE,07/27/2022,09:55:00,2920.00,2920.00,2920.00,2920.00,25,2050
BANKNIFTY2280433500CE,07/27/2022,10:04:00,2950.00,2950.00,2950.00,2950.00,25,2075
BANKNIFTY2280433500CE,07/27/2022,10:32:00,3013.25,3013.25,3013.25,3013.25,25,2075
BANKNIFTY2280433500CE,07/27/2022,11:15:00,3090.00,3090.00,3090.00,3090.00,25,2125
BANKNIFTY2280433500CE,07/27/2022,11:43:00,3124.00,3124.00,3124.00,3124.00,25,2150
BANKNIFTY2280433500CE,07/27/2022,12:50:00,3190.00,3190.00,3190.00,3190.00,25,2175
BANKNIFTY2280433500CE,07/27/2022,13:55:00,3190.00,3190.00,3190.00,3190.00,25,2150
BANKNIFTY2280433500CE,07/27/2022,14:35:00,3270.00,3270.00,3270.00,3270.00,25,2175
BANKNIFTY2280433500CE,07/27/2022,14:59:00,3270.00,3270.00,3270.00,3270.00,25,2200
BANKNIFTY2280433500CE,07/28/2022,09:18:00,3645.80,3646.80,3645.80,3646.80,51,2225
BANKNIFTY2280433500CE,07/28/2022,09:19:00,3655.25,3655.25,3655.25,3655.25,50,2225
BANKNIFTY2280433500CE,07/28/2022,09:29:00,3709.65,3709.65,3709.65,3709.65,50,2325
BANKNIFTY2280433500CE,07/28/2022,09:38:00,3650.00,3650.00,3650.00,3650.00,25,2375
BANKNIFTY2280433500CE,07/28/2022,09:39:00,3650.00,3650.00,3650.00,3650.00,50,2400
BANKNIFTY2280433500CE,07/28/2022,09:46:00,3623.45,3660.00,3623.45,3660.00,100,2450
BANKNIFTY2280433500CE,07/28/2022,09:47:00,3664.95,3664.95,3664.95,3664.95,100,2450
BANKNIFTY2280433500CE,07/28/2022,10:00:00,3697.65,3697.65,3697.65,3697.65,175,2650
BANKNIFTY2280433500CE,07/28/2022,10:12:00,3744.95,3744.95,3744.95,3744.95,25,2825
BANKNIFTY2280433500CE,07/28/2022,10:46:00,3783.75,3783.75,3783.75,3783.75,25,2850
BANKNIFTY2280433500CE,07/28/2022,10:53:00,3783.75,3783.75,3783.75,3783.75,75,2875
BANKNIFTY2280433500CE,07/28/2022,10:57:00,3797.25,3797.25,3797.25,3797.25,25,2875
BANKNIFTY2280433500CE,07/28/2022,11:31:00,3797.25,3797.25,3797.25,3797.25,75,2975
BANKNIFTY2280433500CE,07/28/2022,12:08:00,3801.50,3801.50,3801.50,3801.50,25,3050
BANKNIFTY2280433500CE,07/28/2022,12:41:00,3852.45,3852.45,3852.45,3852.45,225,3075
BANKNIFTY2280433500CE,07/28/2022,13:06:00,3790.00,3790.00,3790.00,3790.00,50,3150
BANKNIFTY2280433500CE,07/28/2022,13:31:00,3813.35,3813.35,3813.35,3813.35,25,3200
BANKNIFTY2280433500CE,07/28/2022,13:48:00,3810.00,3810.00,3810.00,3810.00,50,3225
