<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2272137500PE,07/08/2022,14:31:00,2494.45,2494.45,2494.45,2494.45,26,0
BANKNIFTY2272137500PE,07/08/2022,14:43:00,2470.40,2470.40,2470.40,2470.40,25,25
BANKNIFTY2272137500PE,07/11/2022,10:42:00,2232.05,2232.05,2232.05,2232.05,26,25
BANKNIFTY2272137500PE,07/11/2022,13:35:00,2215.00,2215.00,2215.00,2215.00,125,25
BANKNIFTY2272137500PE,07/11/2022,13:38:00,2215.00,2215.00,2215.00,2215.00,125,150
BANKNIFTY2272137500PE,07/11/2022,14:33:00,1998.00,1998.00,1998.00,1998.00,250,275
BANKNIFTY2272137500PE,07/11/2022,14:36:00,1998.00,1998.00,1998.00,1998.00,25,525
BANKNIFTY2272137500PE,07/12/2022,15:18:00,2400.00,2400.00,2400.00,2400.00,26,550
BANKNIFTY2272137500PE,07/13/2022,13:11:00,2600.00,2600.00,2600.00,2600.00,501,575
BANKNIFTY2272137500PE,07/14/2022,09:56:00,2468.95,2468.95,2468.95,2468.95,51,575
BANKNIFTY2272137500PE,07/14/2022,12:54:00,2754.15,2754.15,2754.15,2754.15,25,600
BANKNIFTY2272137500PE,07/14/2022,13:21:00,2800.00,2800.00,2800.00,2800.00,250,625
BANKNIFTY2272137500PE,07/14/2022,13:45:00,2800.00,2800.00,2800.00,2800.00,250,850
BANKNIFTY2272137500PE,07/14/2022,15:12:00,2810.00,2810.00,2810.00,2810.00,225,600
BANKNIFTY2272137500PE,07/14/2022,15:14:00,2810.00,2810.00,2810.00,2810.00,50,600
BANKNIFTY2272137500PE,07/14/2022,15:15:00,2820.00,2820.00,2820.00,2820.00,75,850
BANKNIFTY2272137500PE,07/14/2022,15:19:00,2820.00,2820.00,2820.00,2820.00,125,925
BANKNIFTY2272137500PE,07/15/2022,09:21:00,2690.45,2700.00,2690.45,2700.00,101,1025
BANKNIFTY2272137500PE,07/15/2022,13:40:00,2929.50,2929.50,2929.50,2929.50,175,1075
BANKNIFTY2272137500PE,07/15/2022,14:02:00,2931.60,2931.60,2931.60,2931.60,150,1075
BANKNIFTY2272137500PE,07/15/2022,14:46:00,2931.60,2931.60,2931.60,2931.60,175,1075
BANKNIFTY2272137500PE,07/18/2022,14:19:00,2301.60,2301.60,2301.60,2301.60,176,1075
BANKNIFTY2272137500PE,07/18/2022,14:25:00,2250.00,2250.00,2250.00,2250.00,25,1075
BANKNIFTY2272137500PE,07/19/2022,10:08:00,2100.00,2100.00,2100.00,2100.00,26,1100
BANKNIFTY2272137500PE,07/19/2022,10:24:00,2081.90,2081.90,2081.90,2081.90,25,1075
BANKNIFTY2272137500PE,07/19/2022,10:55:00,2021.35,2021.35,2021.35,2021.35,50,1075
BANKNIFTY2272137500PE,07/19/2022,11:20:00,1920.00,1920.00,1920.00,1920.00,300,1075
BANKNIFTY2272137500PE,07/19/2022,11:22:00,1875.00,1875.00,1875.00,1875.00,25,1075
BANKNIFTY2272137500PE,07/19/2022,11:25:00,1875.00,1875.00,1875.00,1875.00,25,800
BANKNIFTY2272137500PE,07/19/2022,11:29:00,1950.00,1950.00,1950.00,1950.00,25,825
BANKNIFTY2272137500PE,07/19/2022,11:32:00,1940.00,1940.00,1940.00,1940.00,100,850
BANKNIFTY2272137500PE,07/19/2022,12:28:00,1990.00,1990.00,1990.00,1990.00,450,750
BANKNIFTY2272137500PE,07/19/2022,12:32:00,1885.80,1885.80,1885.80,1885.80,25,1025
BANKNIFTY2272137500PE,07/19/2022,12:34:00,1925.00,1925.00,1925.00,1925.00,75,1025
BANKNIFTY2272137500PE,07/19/2022,13:05:00,2016.10,2016.10,2016.10,2016.10,125,1075
BANKNIFTY2272137500PE,07/19/2022,13:39:00,1966.80,1966.80,1966.80,1966.80,125,1175
BANKNIFTY2272137500PE,07/19/2022,13:41:00,1966.95,1966.95,1966.95,1966.95,100,1175
BANKNIFTY2272137500PE,07/19/2022,13:42:00,1979.90,1979.90,1965.00,1965.00,550,1175
BANKNIFTY2272137500PE,07/19/2022,14:41:00,1786.90,1786.90,1786.90,1786.90,125,925
BANKNIFTY2272137500PE,07/19/2022,15:27:00,1786.90,1810.00,1786.90,1810.00,50,950
BANKNIFTY2272137500PE,07/19/2022,15:28:00,1810.00,1810.00,1810.00,1810.00,25,950
BANKNIFTY2272137500PE,07/20/2022,09:15:00,1468.40,1537.70,1468.40,1522.00,1726,1025
BANKNIFTY2272137500PE,07/20/2022,09:17:00,1485.60,1493.35,1485.60,1493.35,175,1025
BANKNIFTY2272137500PE,07/20/2022,09:19:00,1494.15,1499.45,1484.50,1499.45,200,1325
BANKNIFTY2272137500PE,07/20/2022,09:20:00,1508.95,1508.95,1508.95,1508.95,25,1325
BANKNIFTY2272137500PE,07/20/2022,09:21:00,1523.50,1546.05,1523.50,1546.05,175,1300
BANKNIFTY2272137500PE,07/20/2022,09:22:00,1541.10,1541.10,1541.10,1541.10,50,1300
BANKNIFTY2272137500PE,07/20/2022,09:23:00,1557.30,1557.30,1557.30,1557.30,50,1300
BANKNIFTY2272137500PE,07/20/2022,09:24:00,1568.10,1568.10,1548.55,1548.55,600,1425
BANKNIFTY2272137500PE,07/20/2022,09:25:00,1570.00,1580.05,1570.00,1580.05,50,1425
BANKNIFTY2272137500PE,07/20/2022,09:27:00,1580.05,1580.05,1572.85,1572.85,50,1600
BANKNIFTY2272137500PE,07/20/2022,09:32:00,1530.00,1550.10,1530.00,1550.10,50,1650
BANKNIFTY2272137500PE,07/20/2022,09:33:00,1537.20,1540.00,1533.50,1540.00,100,1650
BANKNIFTY2272137500PE,07/20/2022,09:35:00,1514.95,1535.10,1514.95,1535.10,75,1750
BANKNIFTY2272137500PE,07/20/2022,09:36:00,1535.40,1535.40,1535.40,1535.40,25,1750
BANKNIFTY2272137500PE,07/20/2022,09:37:00,1545.00,1545.00,1542.45,1542.45,50,1750
BANKNIFTY2272137500PE,07/20/2022,09:44:00,1374.15,1378.65,1374.15,1378.65,100,1850
BANKNIFTY2272137500PE,07/20/2022,09:46:00,1365.00,1365.00,1365.00,1365.00,75,1850
BANKNIFTY2272137500PE,07/20/2022,09:48:00,1365.00,1390.00,1365.00,1390.00,200,1850
BANKNIFTY2272137500PE,07/20/2022,09:49:00,1403.00,1403.00,1403.00,1403.00,25,1850
BANKNIFTY2272137500PE,07/20/2022,09:50:00,1400.10,1400.10,1400.10,1400.10,50,1750
BANKNIFTY2272137500PE,07/20/2022,10:08:00,1420.95,1425.00,1420.95,1425.00,75,1750
BANKNIFTY2272137500PE,07/20/2022,10:09:00,1429.65,1429.65,1429.65,1429.65,75,1750
BANKNIFTY2272137500PE,07/20/2022,10:13:00,1414.25,1414.25,1414.25,1414.25,25,1800
BANKNIFTY2272137500PE,07/20/2022,10:16:00,1422.40,1422.40,1422.40,1422.40,25,1800
BANKNIFTY2272137500PE,07/20/2022,10:23:00,1424.65,1424.65,1424.65,1424.65,25,1800
BANKNIFTY2272137500PE,07/20/2022,10:34:00,1430.50,1430.50,1430.50,1430.50,25,1800
BANKNIFTY2272137500PE,07/20/2022,10:44:00,1390.55,1390.55,1390.55,1390.55,25,1825
BANKNIFTY2272137500PE,07/20/2022,10:48:00,1397.85,1397.85,1397.85,1397.85,250,1800
BANKNIFTY2272137500PE,07/20/2022,11:03:00,1378.20,1378.20,1374.60,1374.60,50,2050
BANKNIFTY2272137500PE,07/20/2022,11:12:00,1333.40,1333.40,1333.40,1333.40,250,2025
BANKNIFTY2272137500PE,07/20/2022,11:15:00,1333.40,1333.40,1333.40,1333.40,300,2275
BANKNIFTY2272137500PE,07/20/2022,11:45:00,1400.00,1400.00,1400.00,1400.00,250,2375
BANKNIFTY2272137500PE,07/20/2022,11:48:00,1430.00,1430.00,1430.00,1430.00,250,2125
BANKNIFTY2272137500PE,07/20/2022,11:55:00,1431.35,1431.35,1431.35,1431.35,50,1875
BANKNIFTY2272137500PE,07/20/2022,12:15:00,1381.00,1381.00,1381.00,1381.00,50,1825
BANKNIFTY2272137500PE,07/20/2022,12:18:00,1403.10,1403.10,1403.10,1403.10,25,1875
BANKNIFTY2272137500PE,07/20/2022,12:34:00,1364.55,1364.55,1364.55,1364.55,50,1850
BANKNIFTY2272137500PE,07/20/2022,12:42:00,1386.70,1386.70,1386.70,1386.70,625,1800
BANKNIFTY2272137500PE,07/20/2022,13:13:00,1482.55,1482.55,1482.55,1482.55,50,1450
