<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2280429800PE,07/29/2022,09:15:00,2.80,2.95,1.65,2.95,553,0
BANKNIFTY2280429800PE,07/29/2022,09:16:00,2.85,2.85,2.35,2.35,550,0
BANKNIFTY2280429800PE,07/29/2022,09:20:00,2.25,2.30,2.25,2.30,450,275
BANKNIFTY2280429800PE,07/29/2022,09:21:00,2.35,2.35,2.35,2.35,125,325
BANKNIFTY2280429800PE,07/29/2022,09:23:00,2.35,2.35,2.35,2.35,250,575
BANKNIFTY2280429800PE,07/29/2022,09:24:00,2.35,2.35,2.35,2.35,25,575
BANKNIFTY2280429800PE,07/29/2022,09:25:00,2.40,2.45,2.40,2.45,325,575
BANKNIFTY2280429800PE,07/29/2022,09:26:00,2.35,2.50,2.35,2.50,750,1100
BANKNIFTY2280429800PE,07/29/2022,09:27:00,2.40,2.40,2.40,2.40,25,1100
BANKNIFTY2280429800PE,07/29/2022,09:29:00,2.30,2.35,2.30,2.35,475,1050
BANKNIFTY2280429800PE,07/29/2022,09:30:00,2.35,2.35,2.35,2.35,75,1050
BANKNIFTY2280429800PE,07/29/2022,09:34:00,2.30,2.30,2.30,2.30,125,1350
BANKNIFTY2280429800PE,07/29/2022,09:35:00,2.35,2.40,2.30,2.35,1450,1300
BANKNIFTY2280429800PE,07/29/2022,09:36:00,2.35,2.40,2.30,2.30,2200,1300
BANKNIFTY2280429800PE,07/29/2022,09:37:00,2.40,2.40,2.35,2.35,500,1300
BANKNIFTY2280429800PE,07/29/2022,09:38:00,2.40,2.40,2.40,2.40,475,1300
BANKNIFTY2280429800PE,07/29/2022,09:41:00,2.30,2.30,2.30,2.30,250,1300
BANKNIFTY2280429800PE,07/29/2022,09:42:00,2.30,2.30,2.25,2.25,475,2325
BANKNIFTY2280429800PE,07/29/2022,09:43:00,2.35,2.35,2.35,2.35,50,2325
BANKNIFTY2280429800PE,07/29/2022,09:44:00,2.35,2.35,2.35,2.35,25,1850
BANKNIFTY2280429800PE,07/29/2022,09:45:00,2.35,2.40,2.30,2.35,5275,1850
BANKNIFTY2280429800PE,07/29/2022,09:46:00,2.35,2.40,2.30,2.35,4850,1850
BANKNIFTY2280429800PE,07/29/2022,09:47:00,2.30,2.35,2.30,2.35,400,2575
BANKNIFTY2280429800PE,07/29/2022,09:48:00,2.35,2.35,2.30,2.30,50,2575
BANKNIFTY2280429800PE,07/29/2022,09:49:00,2.30,2.35,2.25,2.25,1300,2575
BANKNIFTY2280429800PE,07/29/2022,09:50:00,2.30,2.30,2.30,2.30,50,2575
BANKNIFTY2280429800PE,07/29/2022,09:59:00,2.25,2.25,2.25,2.25,900,2250
BANKNIFTY2280429800PE,07/29/2022,10:00:00,2.35,2.35,2.30,2.30,250,2250
BANKNIFTY2280429800PE,07/29/2022,10:07:00,2.25,2.25,2.25,2.25,450,2250
BANKNIFTY2280429800PE,07/29/2022,10:09:00,2.30,2.30,2.25,2.25,400,2025
BANKNIFTY2280429800PE,07/29/2022,10:10:00,2.30,2.30,2.25,2.30,700,2025
BANKNIFTY2280429800PE,07/29/2022,10:11:00,2.30,2.30,2.30,2.30,100,1850
BANKNIFTY2280429800PE,07/29/2022,10:15:00,2.30,2.30,2.30,2.30,75,1850
BANKNIFTY2280429800PE,07/29/2022,10:19:00,2.30,2.30,2.30,2.30,25,1775
BANKNIFTY2280429800PE,07/29/2022,10:21:00,2.25,2.30,2.25,2.30,725,1775
BANKNIFTY2280429800PE,07/29/2022,10:22:00,2.25,2.25,2.10,2.15,1475,1775
BANKNIFTY2280429800PE,07/29/2022,10:23:00,2.25,2.25,2.15,2.20,900,1775
BANKNIFTY2280429800PE,07/29/2022,10:24:00,2.20,2.20,2.20,2.20,1425,2800
BANKNIFTY2280429800PE,07/29/2022,10:25:00,2.30,2.30,2.20,2.20,3425,2800
BANKNIFTY2280429800PE,07/29/2022,10:26:00,2.20,2.20,2.20,2.20,25,2800
BANKNIFTY2280429800PE,07/29/2022,10:27:00,2.25,2.25,2.15,2.15,4675,4050
BANKNIFTY2280429800PE,07/29/2022,10:30:00,2.20,2.25,2.15,2.15,500,5025
BANKNIFTY2280429800PE,07/29/2022,10:31:00,2.20,2.20,2.20,2.20,1400,5025
BANKNIFTY2280429800PE,07/29/2022,10:32:00,2.15,2.15,2.15,2.15,500,5025
BANKNIFTY2280429800PE,07/29/2022,10:34:00,2.25,2.25,2.15,2.20,1450,4650
BANKNIFTY2280429800PE,07/29/2022,10:37:00,2.15,2.25,2.15,2.15,1450,4500
BANKNIFTY2280429800PE,07/29/2022,10:38:00,2.20,2.25,2.20,2.25,375,4500
BANKNIFTY2280429800PE,07/29/2022,10:39:00,2.30,2.30,2.30,2.30,300,4375
BANKNIFTY2280429800PE,07/29/2022,10:45:00,2.30,2.30,2.20,2.20,150,3775
BANKNIFTY2280429800PE,07/29/2022,10:47:00,2.25,2.25,2.25,2.25,50,3775
BANKNIFTY2280429800PE,07/29/2022,10:53:00,2.25,2.25,2.20,2.20,125,3775
BANKNIFTY2280429800PE,07/29/2022,10:54:00,2.20,2.20,2.15,2.20,1275,3775
BANKNIFTY2280429800PE,07/29/2022,10:56:00,2.15,2.15,2.15,2.15,25,3925
BANKNIFTY2280429800PE,07/29/2022,10:57:00,2.15,2.15,2.15,2.15,25,3925
BANKNIFTY2280429800PE,07/29/2022,10:58:00,2.20,2.20,2.15,2.15,625,3925
BANKNIFTY2280429800PE,07/29/2022,10:59:00,2.15,2.20,2.15,2.20,1250,4500
BANKNIFTY2280429800PE,07/29/2022,11:00:00,2.25,2.30,2.15,2.20,18925,4500
BANKNIFTY2280429800PE,07/29/2022,11:01:00,2.25,2.30,2.20,2.25,16175,4500
BANKNIFTY2280429800PE,07/29/2022,11:02:00,2.25,2.25,2.25,2.25,925,4500
BANKNIFTY2280429800PE,07/29/2022,11:08:00,2.20,2.25,2.20,2.25,425,6450
BANKNIFTY2280429800PE,07/29/2022,11:35:00,2.25,2.25,2.25,2.25,25,6600
BANKNIFTY2280429800PE,07/29/2022,11:37:00,2.25,2.25,2.25,2.25,50,6600
BANKNIFTY2280429800PE,07/29/2022,11:38:00,2.25,2.25,2.25,2.25,300,6600
BANKNIFTY2280429800PE,07/29/2022,11:42:00,2.25,2.30,2.15,2.20,23450,6675
BANKNIFTY2280429800PE,07/29/2022,11:43:00,2.30,2.30,2.20,2.25,12600,6675
BANKNIFTY2280429800PE,07/29/2022,11:49:00,2.20,2.20,2.20,2.20,25,6450
BANKNIFTY2280429800PE,07/29/2022,11:51:00,2.20,2.20,2.20,2.20,25,6450
BANKNIFTY2280429800PE,07/29/2022,11:53:00,2.30,2.30,2.30,2.30,25,6450
BANKNIFTY2280429800PE,07/29/2022,12:34:00,2.20,2.20,2.20,2.20,50,6450
BANKNIFTY2280429800PE,07/29/2022,12:48:00,2.25,2.25,2.25,2.25,25,6450
BANKNIFTY2280429800PE,07/29/2022,12:50:00,2.20,2.25,2.20,2.20,75,6450
BANKNIFTY2280429800PE,07/29/2022,12:51:00,2.25,2.25,2.25,2.25,25,6450
BANKNIFTY2280429800PE,07/29/2022,12:52:00,2.30,2.30,2.30,2.30,25,6450
BANKNIFTY2280429800PE,07/29/2022,12:59:00,2.25,2.25,2.20,2.20,475,6450
BANKNIFTY2280429800PE,07/29/2022,13:00:00,2.20,2.25,2.15,2.25,1350,6450
BANKNIFTY2280429800PE,07/29/2022,13:01:00,2.25,2.30,2.25,2.30,800,6450
BANKNIFTY2280429800PE,07/29/2022,13:02:00,2.30,2.35,2.20,2.25,15150,9025
BANKNIFTY2280429800PE,07/29/2022,13:03:00,2.25,2.40,2.25,2.35,11025,9025
BANKNIFTY2280429800PE,07/29/2022,13:04:00,2.35,2.45,2.30,2.40,4500,9025
BANKNIFTY2280429800PE,07/29/2022,13:05:00,2.45,2.45,2.35,2.40,525,9025
BANKNIFTY2280429800PE,07/29/2022,13:09:00,2.35,2.35,2.35,2.35,25,13400
BANKNIFTY2280429800PE,07/29/2022,13:40:00,2.35,2.35,2.35,2.35,25,13375
BANKNIFTY2280429800PE,07/29/2022,13:45:00,2.40,2.40,2.40,2.40,225,13375
