<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2290137500PE,07/28/2022,09:24:00,917.50,917.50,917.50,917.50,26,0
BANKNIFTY2290137500PE,07/28/2022,09:44:00,1041.90,1041.90,1041.90,1041.90,50,25
BANKNIFTY2290137500PE,07/28/2022,10:14:00,1041.90,1041.90,1041.90,1041.90,200,75
BANKNIFTY2290137500PE,07/28/2022,10:28:00,872.60,872.60,872.60,872.60,200,275
BANKNIFTY2290137500PE,07/28/2022,12:20:00,872.60,872.60,872.60,872.60,50,100
BANKNIFTY2290137500PE,07/28/2022,12:54:00,926.25,926.25,926.25,926.25,25,150
BANKNIFTY2290137500PE,07/28/2022,15:22:00,875.80,875.80,875.80,875.80,25,150
BANKNIFTY2290137500PE,07/28/2022,15:25:00,875.80,875.80,875.80,875.80,25,175
BANKNIFTY2290137500PE,07/28/2022,15:26:00,879.00,879.00,879.00,879.00,25,175
BANKNIFTY2290137500PE,07/28/2022,15:28:00,888.95,888.95,888.95,888.95,25,200
BANKNIFTY2290137500PE,07/29/2022,09:33:00,765.75,765.75,765.75,765.75,26,225
BANKNIFTY2290137500PE,07/29/2022,10:27:00,888.95,888.95,888.95,888.95,25,250
BANKNIFTY2290137500PE,07/29/2022,10:52:00,889.90,889.90,889.90,889.90,25,250
BANKNIFTY2290137500PE,07/29/2022,13:19:00,889.90,889.90,889.90,889.90,50,275
BANKNIFTY2290137500PE,07/29/2022,14:39:00,867.25,867.25,867.25,867.25,25,325
BANKNIFTY2290137500PE,07/29/2022,15:07:00,839.50,839.50,839.50,839.50,25,350
BANKNIFTY2290137500PE,07/29/2022,15:12:00,802.60,807.05,802.60,807.05,50,350
BANKNIFTY2290137500PE,07/29/2022,15:13:00,770.25,770.25,770.25,770.25,25,350
