<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2281141500CE,07/28/2022,09:19:00,12.00,12.00,12.00,12.00,51,0
BANKNIFTY2281141500CE,07/28/2022,09:24:00,12.00,12.00,12.00,12.00,150,50
BANKNIFTY2281141500CE,07/28/2022,09:25:00,7.80,7.80,7.80,7.80,25,50
BANKNIFTY2281141500CE,07/28/2022,09:43:00,7.80,9.40,7.80,9.40,100,200
BANKNIFTY2281141500CE,07/28/2022,09:48:00,9.40,9.40,9.40,9.40,25,300
BANKNIFTY2281141500CE,07/28/2022,09:51:00,9.40,9.40,9.40,9.40,25,325
BANKNIFTY2281141500CE,07/28/2022,09:52:00,9.35,9.35,9.35,9.35,25,325
BANKNIFTY2281141500CE,07/28/2022,09:59:00,9.40,9.40,9.40,9.40,25,375
BANKNIFTY2281141500CE,07/28/2022,10:00:00,9.30,9.30,9.30,9.30,25,400
BANKNIFTY2281141500CE,07/28/2022,10:02:00,9.45,9.45,9.45,9.45,25,400
BANKNIFTY2281141500CE,07/28/2022,10:09:00,8.15,8.15,8.15,8.15,275,450
BANKNIFTY2281141500CE,07/28/2022,10:14:00,8.00,8.00,8.00,8.00,25,475
BANKNIFTY2281141500CE,07/28/2022,10:19:00,8.85,8.85,8.85,8.85,300,450
BANKNIFTY2281141500CE,07/28/2022,10:26:00,9.60,9.60,9.60,9.60,25,750
BANKNIFTY2281141500CE,07/28/2022,10:53:00,10.00,10.00,10.00,10.00,100,775
BANKNIFTY2281141500CE,07/28/2022,11:02:00,10.10,10.10,10.10,10.10,25,875
BANKNIFTY2281141500CE,07/28/2022,11:35:00,10.80,10.80,10.80,10.80,175,900
BANKNIFTY2281141500CE,07/28/2022,12:54:00,9.75,9.75,9.75,9.75,25,1075
BANKNIFTY2281141500CE,07/28/2022,13:02:00,9.70,9.70,9.70,9.70,100,1075
BANKNIFTY2281141500CE,07/28/2022,13:04:00,9.65,9.65,9.65,9.65,50,1175
BANKNIFTY2281141500CE,07/28/2022,13:22:00,9.60,9.60,9.60,9.60,25,1225
BANKNIFTY2281141500CE,07/28/2022,13:33:00,9.55,9.55,9.55,9.55,100,1250
BANKNIFTY2281141500CE,07/28/2022,13:48:00,9.55,9.55,9.55,9.55,25,1350
BANKNIFTY2281141500CE,07/28/2022,14:47:00,9.20,9.20,9.20,9.20,75,1325
BANKNIFTY2281141500CE,07/28/2022,14:54:00,8.45,8.45,8.45,8.45,50,1400
BANKNIFTY2281141500CE,07/28/2022,14:55:00,8.40,8.40,8.40,8.40,25,1400
BANKNIFTY2281141500CE,07/28/2022,15:02:00,8.20,8.20,8.20,8.20,25,1425
BANKNIFTY2281141500CE,07/28/2022,15:03:00,8.30,8.30,8.30,8.30,50,1425
BANKNIFTY2281141500CE,07/28/2022,15:04:00,8.40,8.40,8.40,8.40,25,1425
