<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2270732700CE,07/01/2022,09:15:00,802.15,855.00,723.80,734.55,3378,7525
BANKNIFTY2270732700CE,07/01/2022,09:16:00,730.55,730.55,680.00,684.65,4100,7525
BANKNIFTY2270732700CE,07/01/2022,09:17:00,689.45,697.55,685.05,688.75,1750,8975
BANKNIFTY2270732700CE,07/01/2022,09:18:00,681.95,704.90,680.00,704.90,1700,8975
BANKNIFTY2270732700CE,07/01/2022,09:19:00,705.55,714.00,689.35,693.40,1700,8975
BANKNIFTY2270732700CE,07/01/2022,09:20:00,692.50,707.00,683.35,707.00,1675,9625
BANKNIFTY2270732700CE,07/01/2022,09:21:00,703.95,703.95,695.80,695.80,675,9625
BANKNIFTY2270732700CE,07/01/2022,09:22:00,693.05,696.15,691.60,696.15,375,9625
BANKNIFTY2270732700CE,07/01/2022,09:23:00,696.15,715.00,693.85,713.15,1400,10625
BANKNIFTY2270732700CE,07/01/2022,09:24:00,711.90,724.00,707.45,724.00,1075,10625
BANKNIFTY2270732700CE,07/01/2022,09:25:00,726.85,731.40,718.35,720.45,1050,10625
BANKNIFTY2270732700CE,07/01/2022,09:26:00,712.75,712.75,700.00,702.35,1375,10550
BANKNIFTY2270732700CE,07/01/2022,09:27:00,702.40,706.30,689.95,689.95,1150,10550
BANKNIFTY2270732700CE,07/01/2022,09:28:00,698.60,698.60,692.55,692.90,625,10550
BANKNIFTY2270732700CE,07/01/2022,09:29:00,693.10,695.60,678.10,678.10,875,11375
BANKNIFTY2270732700CE,07/01/2022,09:30:00,665.90,677.85,663.30,676.70,600,11375
BANKNIFTY2270732700CE,07/01/2022,09:31:00,677.05,694.00,675.00,691.10,700,11375
BANKNIFTY2270732700CE,07/01/2022,09:32:00,692.40,692.40,677.60,682.95,575,11975
BANKNIFTY2270732700CE,07/01/2022,09:33:00,682.65,687.15,682.10,684.35,1175,11975
BANKNIFTY2270732700CE,07/01/2022,09:34:00,686.15,688.40,675.90,688.40,1075,11975
BANKNIFTY2270732700CE,07/01/2022,09:35:00,688.90,690.40,681.00,690.40,3525,13550
BANKNIFTY2270732700CE,07/01/2022,09:36:00,687.15,695.00,684.40,686.00,1400,13550
BANKNIFTY2270732700CE,07/01/2022,09:37:00,685.40,689.00,680.45,689.00,1600,13550
BANKNIFTY2270732700CE,07/01/2022,09:38:00,686.20,686.20,670.00,674.10,1075,14925
BANKNIFTY2270732700CE,07/01/2022,09:39:00,669.10,673.20,666.55,673.20,400,14925
BANKNIFTY2270732700CE,07/01/2022,09:40:00,670.00,675.70,665.90,675.70,1325,14925
BANKNIFTY2270732700CE,07/01/2022,09:41:00,676.80,680.00,669.75,672.75,1725,16225
BANKNIFTY2270732700CE,07/01/2022,09:42:00,672.00,675.65,670.85,675.65,575,16225
BANKNIFTY2270732700CE,07/01/2022,09:43:00,677.70,680.00,675.45,675.45,500,16225
BANKNIFTY2270732700CE,07/01/2022,09:44:00,680.20,692.55,679.65,692.55,1500,16150
BANKNIFTY2270732700CE,07/01/2022,09:45:00,687.35,697.90,687.35,697.90,600,16150
BANKNIFTY2270732700CE,07/01/2022,09:46:00,694.95,694.95,678.30,678.30,575,16150
BANKNIFTY2270732700CE,07/01/2022,09:47:00,686.30,691.90,681.75,690.00,500,16100
BANKNIFTY2270732700CE,07/01/2022,09:49:00,685.85,693.60,685.85,693.60,75,16100
BANKNIFTY2270732700CE,07/01/2022,09:50:00,689.85,695.50,689.85,695.50,475,16425
BANKNIFTY2270732700CE,07/01/2022,09:51:00,687.05,687.05,681.00,681.00,450,16425
BANKNIFTY2270732700CE,07/01/2022,09:52:00,682.90,682.90,681.40,681.40,425,16425
BANKNIFTY2270732700CE,07/01/2022,09:53:00,681.55,681.55,677.60,681.50,400,16375
BANKNIFTY2270732700CE,07/01/2022,09:54:00,679.35,681.80,676.95,676.95,825,16375
BANKNIFTY2270732700CE,07/01/2022,09:55:00,675.50,677.60,674.75,676.90,700,16375
BANKNIFTY2270732700CE,07/01/2022,09:56:00,684.70,689.05,684.70,689.05,175,16100
BANKNIFTY2270732700CE,07/01/2022,09:57:00,685.70,691.00,685.70,691.00,675,16100
BANKNIFTY2270732700CE,07/01/2022,09:58:00,691.75,714.90,691.75,710.15,2525,16100
BANKNIFTY2270732700CE,07/01/2022,09:59:00,706.25,706.25,699.85,703.20,350,16550
BANKNIFTY2270732700CE,07/01/2022,10:00:00,701.65,714.25,701.65,713.00,350,16550
BANKNIFTY2270732700CE,07/01/2022,10:01:00,716.25,716.25,704.95,704.95,325,16550
BANKNIFTY2270732700CE,07/01/2022,10:02:00,702.60,704.75,697.85,697.85,1300,16425
BANKNIFTY2270732700CE,07/01/2022,10:03:00,691.30,700.95,689.50,700.95,275,16425
BANKNIFTY2270732700CE,07/01/2022,10:04:00,704.55,710.65,704.55,704.85,975,16425
BANKNIFTY2270732700CE,07/01/2022,10:05:00,701.65,701.65,697.30,697.55,375,17100
BANKNIFTY2270732700CE,07/01/2022,10:06:00,693.45,693.45,685.00,685.00,600,17100
BANKNIFTY2270732700CE,07/01/2022,10:07:00,685.00,689.50,683.90,683.90,1550,17100
BANKNIFTY2270732700CE,07/01/2022,10:08:00,680.00,680.70,669.15,680.70,1150,17275
BANKNIFTY2270732700CE,07/01/2022,10:09:00,683.50,683.50,672.70,679.70,2325,17275
BANKNIFTY2270732700CE,07/01/2022,10:10:00,678.40,692.95,677.60,692.25,1075,17275
BANKNIFTY2270732700CE,07/01/2022,10:11:00,687.75,692.00,682.00,682.00,875,18175
BANKNIFTY2270732700CE,07/01/2022,10:12:00,680.00,680.10,678.55,678.55,1750,18175
BANKNIFTY2270732700CE,07/01/2022,10:13:00,679.25,690.10,677.40,688.80,1475,18175
BANKNIFTY2270732700CE,07/01/2022,10:14:00,688.70,688.70,684.40,684.40,275,18250
BANKNIFTY2270732700CE,07/01/2022,10:15:00,681.00,681.25,678.80,681.25,1250,18250
BANKNIFTY2270732700CE,07/01/2022,10:16:00,678.60,679.80,675.95,678.60,375,18250
BANKNIFTY2270732700CE,07/01/2022,10:17:00,678.70,695.10,678.70,695.10,1475,19400
