<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2270736100PE,07/01/2022,11:03:00,2882.95,2882.95,2882.95,2882.95,26,50
BANKNIFTY2270736100PE,07/01/2022,14:55:00,2587.55,2587.55,2587.55,2587.55,50,50
BANKNIFTY2270736100PE,07/04/2022,10:03:00,2442.40,2442.40,2442.40,2442.40,26,75
BANKNIFTY2270736100PE,07/04/2022,10:05:00,2567.25,2567.25,2567.25,2567.25,25,100
BANKNIFTY2270736100PE,07/07/2022,09:16:00,1450.70,1453.70,1426.55,1445.55,401,100
BANKNIFTY2270736100PE,07/07/2022,09:18:00,1410.00,1410.00,1409.85,1409.85,225,175
BANKNIFTY2270736100PE,07/07/2022,13:31:00,1235.00,1235.00,1235.00,1235.00,25,125
BANKNIFTY2270736100PE,07/07/2022,15:25:00,1181.95,1181.95,1181.95,1181.95,25,125
