<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2271429500PE,07/01/2022,09:17:00,26.95,26.95,26.90,26.90,77,2625
BANKNIFTY2271429500PE,07/01/2022,09:18:00,25.00,25.00,25.00,25.00,125,2625
BANKNIFTY2271429500PE,07/01/2022,09:19:00,26.70,26.70,26.70,26.70,25,2625
BANKNIFTY2271429500PE,07/01/2022,09:20:00,26.00,26.00,24.00,25.50,575,2950
BANKNIFTY2271429500PE,07/01/2022,09:21:00,26.25,26.25,25.60,25.60,250,2950
BANKNIFTY2271429500PE,07/01/2022,09:22:00,25.85,25.85,25.75,25.75,50,2950
BANKNIFTY2271429500PE,07/01/2022,09:24:00,25.50,25.50,25.40,25.40,150,3450
BANKNIFTY2271429500PE,07/01/2022,09:26:00,25.30,25.30,24.75,24.75,75,3600
BANKNIFTY2271429500PE,07/01/2022,09:29:00,24.85,24.85,24.85,24.85,50,3600
BANKNIFTY2271429500PE,07/01/2022,09:30:00,25.30,25.30,24.15,24.15,325,3675
BANKNIFTY2271429500PE,07/01/2022,09:36:00,22.75,22.75,22.75,22.75,75,3675
BANKNIFTY2271429500PE,07/01/2022,09:37:00,22.95,22.95,22.95,22.95,125,3675
BANKNIFTY2271429500PE,07/01/2022,09:38:00,22.90,22.90,22.90,22.90,50,3675
BANKNIFTY2271429500PE,07/01/2022,09:42:00,22.80,22.80,22.70,22.70,400,3600
BANKNIFTY2271429500PE,07/01/2022,09:43:00,23.30,23.30,23.30,23.30,600,3600
BANKNIFTY2271429500PE,07/01/2022,09:45:00,22.75,22.75,22.75,22.75,25,4200
BANKNIFTY2271429500PE,07/01/2022,09:46:00,22.90,22.90,22.90,22.90,25,4200
BANKNIFTY2271429500PE,07/01/2022,09:51:00,22.10,22.10,22.10,22.10,175,4250
BANKNIFTY2271429500PE,07/01/2022,09:53:00,22.40,22.40,22.40,22.40,50,4300
BANKNIFTY2271429500PE,07/01/2022,09:54:00,22.60,22.60,22.60,22.60,75,4300
BANKNIFTY2271429500PE,07/01/2022,09:55:00,21.75,21.75,21.70,21.70,575,4300
BANKNIFTY2271429500PE,07/01/2022,09:56:00,21.50,21.60,21.50,21.60,1200,5625
BANKNIFTY2271429500PE,07/01/2022,09:58:00,21.80,21.80,20.75,20.75,125,5625
BANKNIFTY2271429500PE,07/01/2022,10:00:00,21.25,21.30,21.25,21.30,150,5925
BANKNIFTY2271429500PE,07/01/2022,10:01:00,21.35,21.35,21.35,21.35,100,5925
BANKNIFTY2271429500PE,07/01/2022,10:02:00,21.55,21.60,21.10,21.10,175,5925
BANKNIFTY2271429500PE,07/01/2022,10:04:00,21.20,21.20,21.20,21.20,25,6325
BANKNIFTY2271429500PE,07/01/2022,10:05:00,21.60,21.95,21.25,21.25,1025,6325
BANKNIFTY2271429500PE,07/01/2022,10:08:00,22.50,22.50,22.50,22.50,300,6075
BANKNIFTY2271429500PE,07/01/2022,10:10:00,22.50,22.50,22.50,22.50,100,6075
BANKNIFTY2271429500PE,07/01/2022,10:11:00,21.70,21.70,21.70,21.70,400,6125
BANKNIFTY2271429500PE,07/01/2022,10:12:00,21.30,21.30,21.30,21.30,175,6125
BANKNIFTY2271429500PE,07/01/2022,10:13:00,21.25,21.25,20.55,20.55,100,6125
BANKNIFTY2271429500PE,07/01/2022,10:14:00,20.55,20.55,20.55,20.55,300,6550
BANKNIFTY2271429500PE,07/01/2022,10:15:00,20.50,20.60,20.50,20.60,225,6550
BANKNIFTY2271429500PE,07/01/2022,10:16:00,21.25,21.25,21.25,21.25,25,6550
BANKNIFTY2271429500PE,07/01/2022,10:17:00,21.20,21.20,20.35,20.35,325,6875
BANKNIFTY2271429500PE,07/01/2022,10:19:00,20.35,20.35,20.35,20.35,25,6875
BANKNIFTY2271429500PE,07/01/2022,10:20:00,20.80,20.80,20.80,20.80,150,6875
BANKNIFTY2271429500PE,07/01/2022,10:21:00,20.00,20.00,20.00,20.00,50,6850
BANKNIFTY2271429500PE,07/01/2022,10:22:00,20.00,20.10,19.55,19.55,675,6850
